Model,Graph name,n,m,d,g,Solve Status,#Nonzero,#B&B Nodes,LB,UB,Solve Time
s,delaunay_n11,2048,6127,4,2,1,18399,5201,4,4,70.3879571
s,power,4941,6594,5,2,0,28012,695,6,6,20.10200167
s,PGPgiantcompo,10680,24316,31,2,7,80673,4913,25,25,175.7749996
s,astro-ph,16706,121251,56,2,0,292621,1592,57,57,342.9984784
s,cond-mat,16726,47594,17,2,0,145367,1969,18,18,345.4043474
s,memplus,17758,54196,96,2,0,161667,409,97,97,229.0492349
s,as-22july06,22963,48436,25,2,9,165762,7266,17,17,856.059696
s,cond-mat-2003,31163,120029,24,2,0,333548,5762,25,25,994.3519588
s,cond-mat-2005,40421,175691,29,2,0,472646,9553,30,30,2907.881998
s,G_n_pin_pout,100000,501198,7,9,NA,1302397,0,1,100000,TLR
s,smallworld,100000,499998,7,9,NA,1299997,0,1,100000,TLR
s,preferentialAttachment,100000,499985,5,9,NA,1299971,0,1,100000,TLR
s,luxembourg,114599,119666,2,NA,9,583130,2,1,57298.99999,TLR
s,cnr-2000,MC,MC,MC,MC,MC,MC,MC,MC,MC,MC
